iter,region,occupy,predict
7,32,0, {0 1 2 3 4}
7,33,0, {0 1 2 3 4}
7,34,1, {1}
7,35,0, {0 1 2 3 4}
7,36,0, {0 1 2 3 4}
7,37,0, {0 1 2 3 4}
7,38,1, {4}
7,39,0, {0 1 2 3 4}
7,40,0, {0 1 2 3 4}
7,41,0, {0 1 2 3 4}
7,42,0, {0 1 2 3 4}
7,43,0, {0 1 2 3 4}
7,44,0, {0 1 2 3 4}
7,45,0, {0 1 2 3 4}
7,46,0, {0 1 2 3 4}
7,47,0, {0 1 2 3 4}
8,0,0, {0 1 2 3 4}
8,1,0, {0 1 2 3 4}
8,2,1, {2}
8,3,0, {0 1 2 3 4}
8,4,0, {0 1 2 3 4}
8,5,0, {0 1 2 3 4}
8,6,1, {3}
8,7,0, {0 1 2 3 4}
8,8,0, {0 1 2 3 4}
8,9,0, {0 1 2 3 4}
8,10,1, {0}
8,11,0, {0 1 2 3 4}
8,12,0, {0 1 2 3 4}
8,13,0, {0 1 2 3 4}
8,14,1, {2}
8,15,0, {0 1 2 3 4}
8,16,0, {0 1 2 3 4}
8,17,0, {0 1 2 3 4}
8,18,0, {0 1 2 3 4}
8,19,0, {0 1 2 3 4}
8,20,0, {0 1 2 3 4}
8,21,0, {0 1 2 3 4}
8,22,0, {0 1 2 3 4}
8,23,0, {0 1 2 3 4}
8,24,0, {0 1 2 3 4}
8,25,0, {0 1 2 3 4}
8,26,1, {2}
8,27,0, {0 1 2 3 4}
8,28,0, {0 1 2 3 4}
8,29,0, {0 1 2 3 4}
8,30,1, {2}
8,31,0, {0 1 2 3 4}
8,32,0, {0 1 2 3 4}
8,33,0, {0 1 2 3 4}
8,34,1, {1}
8,35,0, {0 1 2 3 4}
8,36,0, {0 1 2 3 4}
8,37,0, {0 1 2 3 4}
8,38,1, {4}
8,39,0, {0 1 2 3 4}
8,40,0, {0 1 2 3 4}
8,41,0, {0 1 2 3 4}
8,42,0, {0 1 2 3 4}
8,43,0, {0 1 2 3 4}
8,44,0, {0 1 2 3 4}
8,45,0, {0 1 2 3 4}
8,46,0, {0 1 2 3 4}
8,47,0, {0 1 2 3 4}
9,0,0, {0 1 2 3 4}
9,1,0, {0 1 2 3 4}
9,2,1, {2}
9,3,0, {0 1 2 3 4}
9,4,0, {0 1 2 3 4}
9,5,0, {0 1 2 3 4}
9,6,1, {3}
9,7,0, {0 1 2 3 4}
9,8,0, {0 1 2 3 4}
9,9,0, {0 1 2 3 4}
9,10,1, {0}
9,11,0, {0 1 2 3 4}
9,12,0, {0 1 2 3 4}
9,13,0, {0 1 2 3 4}
9,14,1, {2}
9,15,0, {0 1 2 3 4}
9,16,0, {0 1 2 3 4}
9,17,0, {0 1 2 3 4}
9,18,0, {0 1 2 3 4}
9,19,0, {0 1 2 3 4}
9,20,0, {0 1 2 3 4}
9,21,0, {0 1 2 3 4}
9,22,0, {0 1 2 3 4}
9,23,0, {0 1 2 3 4}
9,24,0, {0 1 2 3 4}
9,25,0, {0 1 2 3 4}
9,26,1, {2}
9,27,0, {0 1 2 3 4}
9,28,0, {0 1 2 3 4}
9,29,0, {0 1 2 3 4}
9,30,1, {2}
9,31,0, {0 1 2 3 4}
9,32,0, {0 1 2 3 4}
9,33,0, {0 1 2 3 4}
9,34,1, {1}
9,35,0, {0 1 2 3 4}
9,36,0, {0 1 2 3 4}
9,37,0, {0 1 2 3 4}
9,38,1, {4}
9,39,0, {0 1 2 3 4}
9,40,0, {0 1 2 3 4}
9,41,0, {0 1 2 3 4}
9,42,0, {0 1 2 3 4}
9,43,0, {0 1 2 3 4}
9,44,0, {0 1 2 3 4}
9,45,0, {0 1 2 3 4}
9,46,0, {0 1 2 3 4}
9,47,0, {0 1 2 3 4}
10,0,0, {0 1 2 3 4}
10,1,1, {2}
10,2,1, {4}
10,3,1, {2}
10,4,1, {0}
10,5,1, {3}
10,6,1, {3}
10,7,1, {2 4}
10,8,1, {1 3}
10,9,1, {0 3}
10,10,1, {2}
10,11,1, {4}
10,12,1, {1}
10,13,1, {0}
10,14,1, {1}
10,15,1, {1}
10,16,0, {0 1 2 3 4}
10,17,0, {0 1 2 3 4}
10,18,0, {0 1 2 3 4}
10,19,0, {0 1 2 3 4}
10,20,0, {0 1 2 3 4}
10,21,0, {0 1 2 3 4}
10,22,0, {0 1 2 3 4}
10,23,0, {0 1 2 3 4}
10,24,0, {0 1 2 3 4}
10,25,0, {0 1 2 3 4}
10,26,0, {0 1 2 3 4}
10,27,0, {0 1 2 3 4}
10,28,0, {0 1 2 3 4}
10,29,0, {0 1 2 3 4}
10,30,0, {0 1 2 3 4}
10,31,0, {0 1 2 3 4}
10,32,0, {0 1 2 3 4}
10,33,0, {0 1 2 3 4}
10,34,0, {0 1 2 3 4}
10,35,0, {0 1 2 3 4}
10,36,0, {0 1 2 3 4}
10,37,0, {0 1 2 3 4}
10,38,0, {0 1 2 3 4}
10,39,0, {0 1 2 3 4}
10,40,0, {0 1 2 3 4}
10,41,0, {0 1 2 3 4}
10,42,0, {0 1 2 3 4}
10,43,0, {0 1 2 3 4}
10,44,0, {0 1 2 3 4}
10,45,0, {0 1 2 3 4}
10,46,0, {0 1 2 3 4}
10,47,0, {0 1 2 3 4}
11,0,0, {0 1 2 3 4}
11,1,1, {2}
11,2,1, {4}
11,3,1, {2}
11,4,1, {0}
11,5,1, {3}
11,6,1, {3}
11,7,1, {2 4}
11,8,1, {1 3}
11,9,1, {0 3}
11,10,1, {2}
11,11,1, {4}
11,12,1, {1}
11,13,1, {0}
11,14,1, {1}
11,15,1, {1}
11,16,0, {0 1 2 3 4}
11,17,0, {0 1 2 3 4}
11,18,0, {0 1 2 3 4}
11,19,0, {0 1 2 3 4}
11,20,0, {0 1 2 3 4}
11,21,0, {0 1 2 3 4}
11,22,0, {0 1 2 3 4}
11,23,0, {0 1 2 3 4}
11,24,0, {0 1 2 3 4}
11,25,0, {0 1 2 3 4}
11,26,0, {0 1 2 3 4}
11,27,0, {0 1 2 3 4}
11,28,0, {0 1 2 3 4}
11,29,0, {0 1 2 3 4}
11,30,0, {0 1 2 3 4}
11,31,0, {0 1 2 3 4}
11,32,0, {0 1 2 3 4}
11,33,0, {0 1 2 3 4}
11,34,0, {0 1 2 3 4}
11,35,0, {0 1 2 3 4}
11,36,0, {0 1 2 3 4}
11,37,0, {0 1 2 3 4}
11,38,0, {0 1 2 3 4}
11,39,0, {0 1 2 3 4}
11,40,0, {0 1 2 3 4}
11,41,0, {0 1 2 3 4}
11,42,0, {0 1 2 3 4}
11,43,0, {0 1 2 3 4}
11,44,0, {0 1 2 3 4}
11,45,0, {0 1 2 3 4}
11,46,0, {0 1 2 3 4}
11,47,0, {0 1 2 3 4}
12,0,0, {0 1 2 3 4}
12,1,1, {2}
12,2,1, {4}
12,3,1, {2}
12,4,1, {0}
12,5,1, {3}
12,6,1, {3}
12,7,1, {2}
12,8,1, {1}
12,9,1, {0}
12,10,1, {2}
12,11,1, {4}
12,12,1, {1}
12,13,1, {0}
12,14,1, {1}
12,15,1, {1}
12,16,0, {0 1 2 3 4}
12,17,0, {0 1 2 3 4}
12,18,0, {0 1 2 3 4}
12,19,0, {0 1 2 3 4}
12,20,0, {0 1 2 3 4}
12,21,0, {0 1 2 3 4}
12,22,0, {0 1 2 3 4}
12,23,0, {0 1 2 3 4}
12,24,0, {0 1 2 3 4}
12,25,0, {0 1 2 3 4}
12,26,0, {0 1 2 3 4}
12,27,0, {0 1 2 3 4}
12,28,0, {0 1 2 3 4}
